Group,Seniority,Position,Location,Salary_b2b,Salary_permanent,Obligatory_skills,Optional_skills
Javascript,Senior,Test Specialist, Warszawa,14 000 - 20 000 PLN,No permanent information,"[{'Python': 'advanced'}, {'MS SQL': 'advanced'}, {'Azure DevOps': 'advanced'}]",
Javascript,Senior,Senior Full-Stack (React-Ruby) Engineer, Warszawa,21 000 - 25 500 PLN,No permanent information,"[{'TypeScript': 'master'}, {'React': 'master'}, {'PostgreSQL': 'advanced'}, {'Ruby': 'advanced'}, {'Swift': 'regular'}]",
Javascript,Senior,Senior Vue.js Frontend Developer, Warszawa,22 500 - 27 000 PLN,No permanent information,"[{'Vue.js': 'advanced'}, {'JavaScript': 'advanced'}, {'CSS': 'regular'}, {'HTML': 'regular'}]","[{'ReactJS': 'nice to have'}, {'Go': 'nice to have'}, {'Agile': 'nice to have'}, {'Open source': 'nice to have'}]"
Javascript,Mid,Front-End Developer, Katowice,8 000 - 14 000 PLN,No permanent information,"[{'English': 'regular'}, {'TypeScript': 'regular'}, {'React': 'regular'}, {'MOBX': 'regular'}, {'OOP': 'regular'}, {'CSS3': 'regular'}, {'JavaScript': 'regular'}, {'Git': 'regular'}]",[{'Node.js': 'nice to have'}]
Javascript,Mid,Fullstack .NET Developer + Vue.js, Warszawa,13 600 - 23 200 PLN,No permanent information,"[{'C#': 'advanced'}, {'Vue.js': 'advanced'}, {'MongoDB': 'regular'}, {'MySQL': 'regular'}, {'JavaScript': 'regular'}]",
Javascript,Senior,Senior Node.js Backend Engineer, Berlin,23 000 - 26 680 PLN,23 000 - 26 680 PLN,"[{'Node.js': 'master'}, {'Node.js Express': 'advanced'}, {'TypeScript': 'advanced'}, {'Microservice Architecture': 'advanced'}, {'Kafka': 'regular'}, {'GraphQL': 'regular'}, {'REST API': 'regular'}]",[{'Lambas': 'nice to have'}]
Javascript,Senior,Senior Frontend Engineer, Berlin,4 000 - 5 000 EUR,No permanent information,"[{'Node.js': 'master'}, {'Node.js Express': 'advanced'}, {'TypeScript': 'advanced'}, {'Microservice Architecture': 'advanced'}, {'Kafka': 'regular'}, {'GraphQL': 'regular'}, {'REST API': 'regular'}]",[{'Lambas': 'nice to have'}]
Javascript,Senior,Senior React Developer (Typescript), Warszawa,24 000 - 26 000 PLN,No permanent information,"[{'React': 'master'}, {'TypeScript': 'advanced'}, {'GitLab': 'advanced'}]",
Javascript,Mid,Regular React developer, Warszawa,10 000 - 16 000 PLN,9 000 - 14 000 PLN,"[{'JavaScript': 'master'}, {'React': 'advanced'}, {'Git': 'regular'}, {'Redux': 'junior'}, {'TypeScript': 'junior'}, {'Jest': 'junior'}]","[{'Redux-saga': 'nice to have'}, {'CSS in JS': 'nice to have'}, {'Node.js': 'nice to have'}, {'React Native': 'nice to have'}]"
Javascript,Mid,React Native Developer, Warszawa,12 000 - 18 000 PLN,No permanent information,"[{'React Native': 'advanced'}, {'JavaScript': 'advanced'}, {'Node.js': 'regular'}, {'SOAP': 'regular'}, {'REST': 'regular'}]",
Javascript,Mid,Backend Developer Node.js, Warszawa,13 000 - 18 000 PLN,No permanent information,"[{'JavaScript': 'advanced'}, {'Node.js': 'advanced'}, {'REST': 'regular'}, {'JSON': 'regular'}]",
Javascript,Senior,Front-End Specialist, Kraków,10 450 - 15 950 PLN,No permanent information,"[{'JS': 'master'}, {'HTML': 'master'}, {'Security': 'regular'}, {'ux ui': 'regular'}]",[{'DevOps': 'nice to have'}]
Javascript,Mid,Front-end developer (Angular), Poznań,Undisclosed Salary,No permanent information,"[{'Angular 2+': 'regular'}, {'JavaScript': 'regular'}, {'HTML5': 'regular'}, {'CSS3': 'regular'}]","[{'AngularJS': 'nice to have'}, {'Webpack': 'nice to have'}, {'Karma': 'nice to have'}, {'Jasmine': 'nice to have'}, {'angular-redux': 'nice to have'}, {'NgRx': 'nice to have'}]"
Javascript,Mid,React Developer, Łódź,10 000 - 16 000 PLN,No permanent information,"[{'HTML5': 'advanced'}, {'SCSS': 'advanced'}, {'Web Applications': 'advanced'}, {'JavaScript': 'advanced'}, {'React': 'advanced'}, {'Git': 'regular'}, {'Webpack': 'regular'}, {'REST API': 'regular'}]","[{'Vue.js': 'nice to have'}, {'Angular': 'nice to have'}]"
Javascript,Senior,Senior Frontend Developer, Warszawa,2 916 - 4 166 EUR,No permanent information,"[{'JavaScript': 'advanced'}, {'React': 'advanced'}, {'Redux': 'advanced'}]",
Javascript,Mid,Front-end Developer (React.js), Warszawa,14 000 - 18 000 PLN,14 000 - 18 000 PLN,"[{'HTML': 'advanced'}, {'CSS': 'advanced'}, {'JavaScript': 'advanced'}, {'React': 'advanced'}]","[{'Vue.js': 'nice to have'}, {'Webpack': 'nice to have'}]"
Javascript,Junior,Senior React Engineer (m/f/d), Innsbruck,2 083 - 2 917 EUR,No permanent information,"[{'JavaScript': 'junior'}, {'ReactJS': 'junior'}, {'React Native': 'junior'}]",
